date,hour,systemMarginalPrice
2026-03-17T10:00:00+03:00,2026-03-17T10:00:00+03:00,5.0
2026-03-17T11:00:00+03:00,2026-03-17T11:00:00+03:00,0.0
2026-03-17T12:00:00+03:00,2026-03-17T12:00:00+03:00,0.0
2026-03-17T13:00:00+03:00,2026-03-17T13:00:00+03:00,0.0
2026-03-17T14:00:00+03:00,2026-03-17T14:00:00+03:00,0.0
2026-03-17T15:00:00+03:00,2026-03-17T15:00:00+03:00,800.0
2026-03-17T16:00:00+03:00,2026-03-17T16:00:00+03:00,744.0
2026-03-17T17:00:00+03:00,2026-03-17T17:00:00+03:00,800.0
2026-03-17T18:00:00+03:00,2026-03-17T18:00:00+03:00,3399.5
2026-03-17T19:00:00+03:00,2026-03-17T19:00:00+03:00,3399.9
2026-03-17T20:00:00+03:00,2026-03-17T20:00:00+03:00,3399.31
2026-03-17T21:00:00+03:00,2026-03-17T21:00:00+03:00,3399.5
2026-03-17T22:00:00+03:00,2026-03-17T22:00:00+03:00,2784.0
2026-03-17T23:00:00+03:00,2026-03-17T23:00:00+03:00,833.71
2026-03-18T00:00:00+03:00,2026-03-18T00:00:00+03:00,2050.0
2026-03-18T01:00:00+03:00,2026-03-18T01:00:00+03:00,799.99
2026-03-18T02:00:00+03:00,2026-03-18T02:00:00+03:00,715.0
2026-03-18T03:00:00+03:00,2026-03-18T03:00:00+03:00,1110.12
2026-03-18T04:00:00+03:00,2026-03-18T04:00:00+03:00,1805.01
2026-03-18T05:00:00+03:00,2026-03-18T05:00:00+03:00,2199.99
2026-03-18T06:00:00+03:00,2026-03-18T06:00:00+03:00,754.1
2026-03-18T07:00:00+03:00,2026-03-18T07:00:00+03:00,80.0
2026-03-18T08:00:00+03:00,2026-03-18T08:00:00+03:00,0.0
2026-03-18T09:00:00+03:00,2026-03-18T09:00:00+03:00,80.0
2026-03-18T10:00:00+03:00,2026-03-18T10:00:00+03:00,100.0
2026-03-18T11:00:00+03:00,2026-03-18T11:00:00+03:00,0.0
2026-03-18T12:00:00+03:00,2026-03-18T12:00:00+03:00,0.0
2026-03-18T13:00:00+03:00,2026-03-18T13:00:00+03:00,1430.0
2026-03-18T14:00:00+03:00,2026-03-18T14:00:00+03:00,2800.0
2026-03-18T15:00:00+03:00,2026-03-18T15:00:00+03:00,1730.0
2026-03-18T16:00:00+03:00,2026-03-18T16:00:00+03:00,500.0
2026-03-18T17:00:00+03:00,2026-03-18T17:00:00+03:00,3200.01
2026-03-18T18:00:00+03:00,2026-03-18T18:00:00+03:00,3288.0
2026-03-18T19:00:00+03:00,2026-03-18T19:00:00+03:00,3200.0
2026-03-18T20:00:00+03:00,2026-03-18T20:00:00+03:00,1716.01
2026-03-18T21:00:00+03:00,2026-03-18T21:00:00+03:00,890.0
2026-03-18T22:00:00+03:00,2026-03-18T22:00:00+03:00,100.0
2026-03-18T23:00:00+03:00,2026-03-18T23:00:00+03:00,80.0
2026-03-19T00:00:00+03:00,2026-03-19T00:00:00+03:00,2500.0
2026-03-19T01:00:00+03:00,2026-03-19T01:00:00+03:00,2500.0
2026-03-19T02:00:00+03:00,2026-03-19T02:00:00+03:00,2500.0
2026-03-19T03:00:00+03:00,2026-03-19T03:00:00+03:00,2450.0
2026-03-19T04:00:00+03:00,2026-03-19T04:00:00+03:00,2450.0
2026-03-19T05:00:00+03:00,2026-03-19T05:00:00+03:00,235.01
2026-03-19T06:00:00+03:00,2026-03-19T06:00:00+03:00,0.0
2026-03-19T07:00:00+03:00,2026-03-19T07:00:00+03:00,0.0
2026-03-19T08:00:00+03:00,2026-03-19T08:00:00+03:00,0.0
2026-03-19T09:00:00+03:00,2026-03-19T09:00:00+03:00,0.0
2026-03-19T10:00:00+03:00,2026-03-19T10:00:00+03:00,0.0
2026-03-19T11:00:00+03:00,2026-03-19T11:00:00+03:00,0.0
2026-03-19T12:00:00+03:00,2026-03-19T12:00:00+03:00,0.0
2026-03-19T13:00:00+03:00,2026-03-19T13:00:00+03:00,0.0
2026-03-19T14:00:00+03:00,2026-03-19T14:00:00+03:00,0.0
2026-03-19T15:00:00+03:00,2026-03-19T15:00:00+03:00,984.38
2026-03-19T16:00:00+03:00,2026-03-19T16:00:00+03:00,2450.0
2026-03-19T17:00:00+03:00,2026-03-19T17:00:00+03:00,2500.0
2026-03-19T18:00:00+03:00,2026-03-19T18:00:00+03:00,2500.0
2026-03-19T19:00:00+03:00,2026-03-19T19:00:00+03:00,1600.0
2026-03-19T20:00:00+03:00,2026-03-19T20:00:00+03:00,1743.99
2026-03-19T21:00:00+03:00,2026-03-19T21:00:00+03:00,2500.0
2026-03-19T22:00:00+03:00,2026-03-19T22:00:00+03:00,2500.0
2026-03-19T23:00:00+03:00,2026-03-19T23:00:00+03:00,2500.0
2026-03-20T00:00:00+03:00,2026-03-20T00:00:00+03:00,2880.0
2026-03-20T01:00:00+03:00,2026-03-20T01:00:00+03:00,3100.0
2026-03-20T02:00:00+03:00,2026-03-20T02:00:00+03:00,2249.0
2026-03-20T03:00:00+03:00,2026-03-20T03:00:00+03:00,2249.0
2026-03-20T04:00:00+03:00,2026-03-20T04:00:00+03:00,1855.85
2026-03-20T05:00:00+03:00,2026-03-20T05:00:00+03:00,1000.0
2026-03-20T06:00:00+03:00,2026-03-20T06:00:00+03:00,2400.0
